reserved_room_type,assigned_room_type,room_id
C,C,1
A,C,2
A,A,3
D,D,4
E,E,5
D,E,6
G,G,7
A,E,8
A,G,9
F,F,10
D,I,11
A,B,12
E,F,13
H,H,14
A,D,15
G,H,16
H,G,17
D,C,18
E,G,19
A,H,20
E,H,21
D,F,22
A,F,23
F,E,24
L,H,25
L,C,26
A,I,27
C,I,28
D,G,29
E,I,30
C,F,31
L,F,32
G,C,33
D,A,34
G,I,35
F,G,36
C,H,37
G,F,38
C,G,39
E,D,40
E,A,41
F,I,42
F,D,43
F,A,44
C,A,45
L,L,46
C,E,47
L,A,48
B,B,49
L,B,50
C,D,51
D,H,52
H,D,53
H,I,54
C,B,55
E,C,56
G,E,57
F,H,58
B,D,59
A,K,60
B,E,61
F,B,62
E,K,63
B,G,64
B,A,65
B,K,66
G,A,67
D,K,68
P,P,69
D,B,70
E,B,71
B,F,72
G,B,73
F,K,74
G,K,75
